Age,Gender,spotify_usage_period,User_ID,spotify_listening_device,spotify_subscription_plan,premium_sub_willingness,preffered_premium_plan,,fav_music_genre,music_time_slot,music_Influencial_mood,music_lis_frequency,music_expl_method,music_recc_rating
20-35,Female,More than 2 years,User_346,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,,Indie,Night,Relaxation and stress relief,While Traveling,Others,4
20-35,Female,More than 2 years,User_347,Smartphone,Free (ad-supported),Yes,None,,Rock,Night,Relaxation and stress relief,While Traveling,recommendations,3
20-35,Female,More than 2 years,User_348,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,,Reggae,Morning,Relaxation and stress relief,"Office hours, While Traveling","recommendations, Playlists",4
20-35,Female,1 year to 2 years,User_349,"Smartphone, Computer or laptop, Smart speakers or voice assistants, Wearable devices",Premium (paid subscription),Yes,Student Plan-Rs 59/month,,Electronic,Night,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","Study Hours, While Traveling, leisure time","recommendations, Playlists, Radio",4
20-35,Female,More than 2 years,User_350,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,,Pop,Night,Relaxation and stress relief,While Traveling,Playlists,5
20-35,Female,6 months to 1 year,User_351,Smartphone,Free (ad-supported),Yes,Duo plan- Rs 149/month,,Hip-hop,Night,Relaxation and stress relief,While Traveling,recommendations,3
20-35,Female,Less than 6 months,User_352,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,,Country,Night,Relaxation and stress relief,leisure time,recommendations,3
20-35,Female,More than 2 years,User_353,Smartphone,Premium (paid subscription),Yes,Individual Plan- Rs 119/ month,,R&B,Night,"Relaxation and stress relief, Uplifting and motivational","Study Hours, Workout session, leisure time",Radio,1
20-35,Female,Less than 6 months,User_354,Smartphone,Free (ad-supported),No,Student Plan-Rs 59/month,,Jazz,Night,Relaxation and stress relief,"While Traveling, leisure time","recommendations, Playlists, Radio, Others",3
20-35,Female,Less than 6 months,User_355,Smartphone,Free (ad-supported),No,Individual Plan- Rs 119/ month,,Folk,Night,Social gatherings or parties,While Traveling,"Others, Friends",4
20-35,Female,More than 2 years,User_356,Smartphone,Free (ad-supported),No,None,,Indie,Morning,Relaxation and stress relief,While Traveling,"recommendations, Others",5
20-35,Female,6 months to 1 year,User_357,Smartphone,Free (ad-supported),No,None,,Rock,Afternoon,Relaxation and stress relief,While Traveling,recommendations,5
20-35,Female,More than 2 years,User_358,"Smartphone, Wearable devices",Free (ad-supported),No,None,,Reggae,Night,"Relaxation and stress relief, Sadness or melancholy, Social gatherings or parties","Office hours, Study Hours, While Traveling, leisure time","recommendations, Playlists, Others",3
20-35,Female,More than 2 years,User_359,"Smartphone, Computer or laptop",Free (ad-supported),No,Student Plan-Rs 59/month,,Electronic,Night,"Relaxation and stress relief, Social gatherings or parties","While Traveling, Workout session, leisure time",Playlists,4
20-35,Female,Less than 6 months,User_360,Smartphone,Free (ad-supported),No,None,,Pop,Night,"Relaxation and stress relief, Uplifting and motivational, Sadness or melancholy, Social gatherings or parties","Study Hours, While Traveling, Workout session, leisure time","recommendations, Playlists",4
